feature,provenance,nonmissing_count,missing_count,missing_percentage,zero_percentage_of_nonmissing,unique_nonmissing_values,mean,std,min,q25,median,q75,max
treated_disease_intersection_count,Hetionet graph,3292,127130,97.475886,96.142163,3,0.041616038882138516,0.21441418687865907,0.0,0.0,0.0,0.0,2.0
treated_disease_union_count,Hetionet graph,3292,127130,97.475886,30.741191,11,1.3897326852976915,1.6090911734157098,0.0,0.0,1.0,2.0,10.0
treated_disease_jaccard,Hetionet graph,3292,127130,97.475886,96.142163,12,0.020963519064977145,0.12415341024451408,0.0,0.0,0.0,0.0,1.0
pharmacologic_class_intersection_count,Hetionet graph,3292,127130,97.475886,99.878493,3,0.0015188335358444715,0.046094527979674865,0.0,0.0,0.0,0.0,2.0
pharmacologic_class_union_count,Hetionet graph,3292,127130,97.475886,42.952612,10,0.9674969623329283,1.2472421323817182,0.0,0.0,1.0,1.0,9.0
pharmacologic_class_jaccard,Hetionet graph,3292,127130,97.475886,99.878493,5,0.0003645200486026731,0.011410032326326022,0.0,0.0,0.0,0.0,0.5
structure_available_count,PubChem structure + RDKit,130422,0,0.0,4.223981,3,1.6622655686923986,0.5551142767767892,0.0,1.0,2.0,2.0,2.0
both_structures_available,PubChem structure + RDKit,130422,0,0.0,29.549463,2,0.7045053748600696,0.45626653159080516,0.0,0.0,1.0,1.0,1.0
molecular_weight_mean,PubChem structure + RDKit,91883,38539,29.549463,0.0,82384,508.9692632587978,512.4211022970583,38.5095,310.91225,386.94900000000007,496.02525000000026,6971.528499999986
molecular_weight_abs_difference,PubChem structure + RDKit,91883,38539,29.549463,0.017413,83433,377.91358634709997,937.2104617400441,0.0,61.68750000000003,139.36000000000013,272.8775000000003,7112.026999999995
logp_mean,PubChem structure + RDKit,91883,38539,29.549463,0.0,84530,2.1854045693980364,3.0750734640738595,-41.224049999999565,1.4908750000000006,2.8124000000000025,3.830935000000002,17.263410000000004
logp_abs_difference,PubChem structure + RDKit,91883,38539,29.549463,0.014148,84854,3.3709542222173945,4.754708476499795,0.0,0.9088400000000008,1.976720000000002,3.647900000000007,54.232400000000055
tpsa_mean,PubChem structure + RDKit,91883,38539,29.549463,0.008707,38924,134.81754149298564,215.12247801128004,0.0,58.045,83.89500000000001,118.8475,3097.0050000000056
tpsa_abs_difference,PubChem structure + RDKit,91883,38539,29.549463,0.290587,40513,145.42900003265024,396.20197473211,0.0,20.16999999999998,44.15999999999998,88.22999999999999,3107.1200000000053
hbd_mean,PubChem structure + RDKit,91883,38539,29.549463,4.116104,149,3.6103250873393335,7.254990449749433,0.0,1.0,2.0,3.0,99.5
hbd_abs_difference,PubChem structure + RDKit,91883,38539,29.549463,19.626046,97,4.726521772253845,13.311728192681027,0.0,1.0,1.0,3.0,100.0
hba_mean,PubChem structure + RDKit,91883,38539,29.549463,0.011972,169,7.008113579225754,8.058056804206249,0.0,3.5,5.0,7.5,109.0
hba_abs_difference,PubChem structure + RDKit,91883,38539,29.549463,11.064071,120,6.326926634959677,14.648721373673117,0.0,1.0,3.0,5.0,198.0
rotatable_bonds_mean,PubChem structure + RDKit,91883,38539,29.549463,0.500637,276,8.426678493301264,14.128479169824947,0.0,3.5,5.0,7.5,182.5
rotatable_bonds_abs_difference,PubChem structure + RDKit,91883,38539,29.549463,8.399813,184,9.682041291642632,25.87010209342925,0.0,2.0,3.0,6.0,184.0
