ddinter_id,ddinter_name,hetionet_compound_id,hetionet_name,mapping_method,mapping_status
DDInter483,Dasabuvir,,,none,unmapped
DDInter484,Dasatinib,,,none,unmapped
DDInter485,Daunorubicin,,,none,unmapped
DDInter486,Daunorubicin (liposomal),,,none,unmapped
DDInter487,Decitabine,,,none,unmapped
DDInter488,Deferasirox,Compound::DB01609,Deferasirox,normalized case-insensitive exact generic name,exact_name
DDInter489,Deferiprone,,,none,unmapped
DDInter49,Almotriptan,,,none,unmapped
DDInter490,Deferoxamine,,,none,unmapped
DDInter491,Defibrotide,,,none,unmapped
DDInter492,Deflazacort,,,none,unmapped
DDInter493,Degarelix,,,none,unmapped
DDInter494,Dehydrocholic acid,,,none,unmapped
DDInter495,Delafloxacin,,,none,unmapped
DDInter496,Delavirdine,,,none,unmapped
DDInter497,Demecarium (ophthalmic),,,none,unmapped
DDInter498,Demeclocycline,,,none,unmapped
DDInter499,Denileukin diftitox,,,none,unmapped
DDInter5,Abatacept,,,none,unmapped
DDInter50,Aloe Vera Leaf,,,none,unmapped
DDInter500,Denosumab,,,none,unmapped
DDInter501,Deoxycholic acid,,,none,unmapped
DDInter502,Deserpidine,Compound::DB01089,Deserpidine,normalized case-insensitive exact generic name,exact_name
DDInter503,Desflurane,,,none,unmapped
DDInter504,Desipramine,Compound::DB01151,Desipramine,normalized case-insensitive exact generic name,exact_name
DDInter505,Desirudin,,,none,unmapped
DDInter506,Desloratadine,,,none,unmapped
DDInter507,Desmopressin,,,none,unmapped
DDInter508,Desogestrel,,,none,unmapped
DDInter509,Desonide (topical),,,none,unmapped
DDInter51,Alogliptin,Compound::DB06203,Alogliptin,normalized case-insensitive exact generic name,exact_name
DDInter510,Desoximetasone (topical),,,none,unmapped
DDInter511,Desvenlafaxine,,,none,unmapped
DDInter512,Deutetrabenazine,,,none,unmapped
DDInter513,Dexamethasone,,,none,unmapped
DDInter514,Dexamethasone (nasal),,,none,unmapped
DDInter515,Dexamethasone (ophthalmic),,,none,unmapped
DDInter516,Dexamethasone (topical),,,none,unmapped
DDInter517,Dexbrompheniramine,,,none,unmapped
DDInter518,Dexfenfluramine,,,none,unmapped
DDInter519,Dexlansoprazole,,,none,unmapped
DDInter52,Alosetron,,,none,unmapped
DDInter520,Dexmedetomidine,,,none,unmapped
DDInter521,Dexmethylphenidate,,,none,unmapped
DDInter522,Dexrazoxane,,,none,unmapped
DDInter523,Dextran (-1),,,none,unmapped
DDInter524,Dextran (high molecular weight),,,none,unmapped
DDInter525,Dextran (low molecular weight),,,none,unmapped
DDInter526,Dextroamphetamine,Compound::DB01576,Dextroamphetamine,normalized case-insensitive exact generic name,exact_name
DDInter527,Dextromethorphan,,,none,unmapped
DDInter528,Dextropropoxyphene,Compound::DB00647,Dextropropoxyphene,normalized case-insensitive exact generic name,exact_name
DDInter529,"Dextrose, unspecified form",,,none,unmapped
DDInter53,Alpelisib,,,none,unmapped
DDInter530,Dextrothyroxine,,,none,unmapped
DDInter531,Dezocine,,,none,unmapped
DDInter532,Diamorphine,,,none,unmapped
DDInter533,Diatrizoate,,,none,unmapped
DDInter534,Diazepam,,,none,unmapped
DDInter535,Diazoxide,Compound::DB01119,Diazoxide,normalized case-insensitive exact generic name,exact_name
DDInter536,Dichloralphenazone,,,none,unmapped
